time_s,signal,time_min,time_hour,smoothed_signal,baseline,detrended_signal
441.852,-0.419731,7.364199999999999,0.12273666666666666,-0.419764,-0.419666,-9.80000000000425e-05
441.994,-0.419761,7.366566666666667,0.12277611111111111,-0.419772,-0.419666,-0.00010599999999999499
442.133,-0.419822,7.368883333333333,0.12281472222222221,-0.419784,-0.419666,-0.00011800000000000699
442.275,-0.419764,7.37125,0.12285416666666667,-0.419772,-0.419666,-0.00010599999999999499
442.408,-0.419745,7.373466666666667,0.12289111111111112,-0.419764,-0.419666,-9.80000000000425e-05
442.553,-0.419806,7.375883333333333,0.12293138888888888,-0.419772,-0.419666,-0.00010599999999999499
442.687,-0.419806,7.378116666666667,0.12296861111111111,-0.419772,-0.419666,-0.00010599999999999499
442.822,-0.419742,7.380366666666666,0.12300611111111111,-0.419764,-0.419666,-9.80000000000425e-05
442.958,-0.419745,7.382633333333334,0.1230438888888889,-0.419772,-0.419666,-0.00010599999999999499
443.135,-0.419815,7.385583333333333,0.12309305555555555,-0.419796,-0.419666,-0.000130000000000019
443.268,-0.419772,7.3877999999999995,0.12312999999999999,-0.419772,-0.419666,-0.00010599999999999499
443.401,-0.41974,7.390016666666667,0.12316694444444445,-0.419764,-0.419666,-9.80000000000425e-05
443.536,-0.419804,7.392266666666667,0.12320444444444445,-0.419772,-0.419666,-0.00010599999999999499
443.667,-0.419813,7.39445,0.12324083333333333,-0.419796,-0.419666,-0.000130000000000019
443.797,-0.419747,7.3966166666666675,0.12327694444444445,-0.419772,-0.419666,-0.00010599999999999499
443.938,-0.419746,7.3989666666666665,0.12331611111111111,-0.419772,-0.419666,-0.00010599999999999499
444.081,-0.419819,7.40135,0.12335583333333333,-0.419796,-0.419666,-0.000130000000000019
444.221,-0.419817,7.403683333333333,0.12339472222222223,-0.419796,-0.419666,-0.000130000000000019
444.373,-0.419749,7.4062166666666664,0.12343694444444445,-0.419772,-0.419666,-0.00010599999999999499
444.507,-0.419796,7.40845,0.12347416666666666,-0.419772,-0.419666,-0.00010599999999999499
444.638,-0.419825,7.410633333333333,0.12351055555555555,-0.419796,-0.419666,-0.000130000000000019
444.769,-0.419759,7.412816666666667,0.12354694444444445,-0.419794,-0.419666,-0.000128000000000017
444.911,-0.419749,7.415183333333333,0.12358638888888888,-0.419794,-0.419666,-0.000128000000000017
445.057,-0.41983,7.4176166666666665,0.12362694444444444,-0.419794,-0.419666,-0.000128000000000017
445.188,-0.419833,7.4197999999999995,0.12366333333333333,-0.419794,-0.419666,-0.000128000000000017
445.319,-0.419757,7.421983333333333,0.12369972222222222,-0.41978,-0.419666,-0.00011400000000000299
445.45,-0.419743,7.424166666666666,0.1237361111111111,-0.41978,-0.419666,-0.00011400000000000299
445.582,-0.419839,7.426366666666667,0.12377277777777777,-0.419794,-0.419666,-0.000128000000000017
445.717,-0.419839,7.428616666666667,0.12381027777777777,-0.419794,-0.419666,-0.000128000000000017
445.852,-0.419765,7.430866666666666,0.12384777777777776,-0.41978,-0.419666,-0.00011400000000000299
445.986,-0.419756,7.4331,0.123885,-0.41978,-0.419666,-0.00011400000000000299
446.116,-0.41983,7.435266666666666,0.1239211111111111,-0.41978,-0.419666,-0.00011400000000000299
446.249,-0.419794,7.437483333333334,0.12395805555555556,-0.41978,-0.419666,-0.00011400000000000299
446.38,-0.419747,7.439666666666667,0.12399444444444445,-0.41978,-0.419666,-0.00011400000000000299
446.513,-0.41978,7.441883333333333,0.12403138888888889,-0.41978,-0.419666,-0.00011400000000000299
446.643,-0.419832,7.44405,0.1240675,-0.41978,-0.419666,-0.00011400000000000299
446.772,-0.419764,7.4462,0.12410333333333333,-0.41978,-0.419666,-0.00011400000000000299
446.901,-0.419752,7.4483500000000005,0.12413916666666668,-0.41978,-0.419666,-0.00011400000000000299
447.042,-0.41981,7.450699999999999,0.12417833333333332,-0.419794,-0.419666,-0.000128000000000017
447.177,-0.41985,7.45295,0.12421583333333334,-0.419794,-0.419666,-0.000128000000000017
447.309,-0.419746,7.455150000000001,0.1242525,-0.41978,-0.419666,-0.00011400000000000299
447.44,-0.419734,7.457333333333334,0.1242888888888889,-0.41978,-0.419666,-0.00011400000000000299
447.583,-0.419817,7.459716666666667,0.12432861111111111,-0.419794,-0.419666,-0.000128000000000017
447.714,-0.419818,7.4619,0.124365,-0.419794,-0.419666,-0.000128000000000017
447.845,-0.41975,7.464083333333334,0.1244013888888889,-0.41978,-0.419666,-0.00011400000000000299
447.985,-0.419731,7.4664166666666665,0.12444027777777777,-0.41978,-0.419666,-0.00011400000000000299
448.121,-0.419805,7.468683333333333,0.12447805555555555,-0.419799,-0.419666,-0.00013299999999999423
448.252,-0.419799,7.470866666666667,0.12451444444444444,-0.419799,-0.419666,-0.00013299999999999423
448.387,-0.419744,7.473116666666667,0.12455194444444445,-0.419799,-0.419666,-0.00013299999999999423
448.524,-0.419802,7.4754,0.12459,-0.419799,-0.419666,-0.00013299999999999423
448.657,-0.419817,7.477616666666666,0.12462694444444444,-0.419794,-0.419666,-0.000128000000000017
448.793,-0.419755,7.479883333333333,0.12466472222222222,-0.419778,-0.419666,-0.00011200000000000099
448.926,-0.419741,7.4821,0.12470166666666667,-0.419778,-0.419666,-0.00011200000000000099
449.056,-0.41982,7.484266666666667,0.12473777777777777,-0.419794,-0.419666,-0.000128000000000017
449.187,-0.419809,7.4864500000000005,0.12477416666666667,-0.419794,-0.419666,-0.000128000000000017
449.322,-0.419744,7.4887,0.12481166666666667,-0.419778,-0.419666,-0.00011200000000000099
449.468,-0.419751,7.491133333333334,0.12485222222222223,-0.419778,-0.419666,-0.00011200000000000099
449.6,-0.419823,7.493333333333334,0.1248888888888889,-0.419794,-0.419666,-0.000128000000000017
449.73,-0.419825,7.495500000000001,0.12492500000000001,-0.419794,-0.419666,-0.000128000000000017
449.861,-0.41974,7.497683333333333,0.12496138888888889,-0.419778,-0.419666,-0.00011200000000000099
449.996,-0.419778,7.499933333333333,0.12499888888888888,-0.419786,-0.419666,-0.00012000000000000899
450.135,-0.419794,7.50225,0.1250375,-0.419786,-0.419666,-0.00012000000000000899
450.267,-0.419774,7.50445,0.12507416666666665,-0.419778,-0.419666,-0.00011200000000000099
450.401,-0.41974,7.506683333333333,0.1251113888888889,-0.419778,-0.419666,-0.00011200000000000099
450.538,-0.419806,7.508966666666667,0.12514944444444445,-0.419786,-0.419666,-0.00012000000000000899
450.673,-0.419812,7.511216666666667,0.12518694444444445,-0.419786,-0.419666,-0.00012000000000000899
450.803,-0.419744,7.5133833333333335,0.12522305555555555,-0.419778,-0.419666,-0.00011200000000000099
450.936,-0.419748,7.5156,0.12525999999999998,-0.419778,-0.419666,-0.00011200000000000099
451.094,-0.419833,7.518233333333333,0.12530388888888888,-0.419786,-0.419666,-0.00012000000000000899
451.239,-0.419803,7.52065,0.12534416666666667,-0.419786,-0.419666,-0.00012000000000000899
451.372,-0.419742,7.522866666666667,0.1253811111111111,-0.419778,-0.419666,-0.00011200000000000099
451.506,-0.419786,7.525099999999999,0.12541833333333333,-0.419778,-0.419666,-0.00011200000000000099
451.641,-0.419836,7.52735,0.12545583333333335,-0.419786,-0.419666,-0.00012000000000000899
451.773,-0.419767,7.52955,0.1254925,-0.419786,-0.419666,-0.00012000000000000899
451.906,-0.41976,7.531766666666667,0.12552944444444444,-0.419786,-0.419666,-0.00012000000000000899
452.038,-0.419818,7.533966666666667,0.1255661111111111,-0.419786,-0.419666,-0.00012000000000000899
452.168,-0.419822,7.536133333333334,0.12560222222222223,-0.419786,-0.419666,-0.00012000000000000899
452.301,-0.419751,7.538349999999999,0.12563916666666666,-0.419767,-0.419666,-0.00010100000000001774
452.434,-0.419747,7.540566666666667,0.12567611111111113,-0.419767,-0.419666,-0.00010100000000001774
452.566,-0.419811,7.542766666666666,0.12571277777777778,-0.419786,-0.419666,-0.00012000000000000899
452.699,-0.419821,7.544983333333334,0.12574972222222222,-0.419786,-0.419666,-0.00012000000000000899
452.831,-0.419767,7.547183333333334,0.1257863888888889,-0.419767,-0.419666,-0.00010100000000001774
452.961,-0.419736,7.5493500000000004,0.1258225,-0.419767,-0.419666,-0.00010100000000001774
453.096,-0.419837,7.5516,0.12586,-0.419767,-0.419666,-0.00010100000000001774
453.227,-0.41981,7.553783333333333,0.12589638888888888,-0.419767,-0.419666,-0.00010100000000001774
453.368,-0.419722,7.556133333333333,0.12593555555555555,-0.419767,-0.419666,-0.00010100000000001774
453.503,-0.419755,7.5583833333333335,0.12597305555555555,-0.419767,-0.419666,-0.00010100000000001774
453.639,-0.419803,7.56065,0.12601083333333335,-0.419767,-0.419666,-0.00010100000000001774
453.771,-0.419748,7.56285,0.1260475,-0.419767,-0.419666,-0.00010100000000001774
453.902,-0.41973,7.565033333333333,0.12608388888888888,-0.419767,-0.419666,-0.00010100000000001774
454.032,-0.419809,7.5672,0.12611999999999998,-0.419785,-0.419666,-0.00011900000000003574
454.16,-0.419813,7.569333333333334,0.12615555555555558,-0.419785,-0.419666,-0.00011900000000003574
454.301,-0.419733,7.5716833333333335,0.12619472222222222,-0.419767,-0.419666,-0.00010100000000001774
454.432,-0.419758,7.5738666666666665,0.12623111111111113,-0.419765,-0.419666,-9.900000000001574e-05
454.561,-0.419814,7.576016666666666,0.12626694444444445,-0.419785,-0.419666,-0.00011900000000003574
454.701,-0.419815,7.57835,0.12630583333333334,-0.419785,-0.419666,-0.00011900000000003574
454.842,-0.419755,7.580699999999999,0.12634499999999999,-0.419765,-0.419666,-9.900000000001574e-05
